Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0402_1005Metric",51.270000,-34.500000,180.000000,top
"C2","100n","C_0402_1005Metric",53.750000,-34.500000,0.000000,top
"C3","100n","C_0402_1005Metric",61.025000,-44.175000,270.000000,top
"C4","100n","C_0402_1005Metric",59.000000,-39.000000,0.000000,top
"C5","100n","C_0402_1005Metric",61.500000,-41.750000,0.000000,top
"C6","2n2","C_0402_1005Metric",53.750000,-41.250000,90.000000,top
"D1","BLUE","LED_0603_1608Metric",50.000000,-37.000000,180.000000,top
"D2","GREEN","LED_0603_1608Metric",45.750000,-45.750000,180.000000,top
"R1","1k","R_0402_1005Metric",55.000000,-37.000000,0.000000,top
"R2","1k","R_0402_1005Metric",48.500000,-45.750000,0.000000,top
"R3","2k2","R_0402_1005Metric",51.250000,-41.250000,270.000000,top
"R4","2k2","R_0402_1005Metric",51.250000,-43.250000,90.000000,top
"U1","CH340E","MSOP-10_3x3mm_P0.5mm",52.250000,-30.750000,180.000000,top
"U2","MPU-6050","InvenSense_QFN-24_4x4mm_P0.5mm",57.250000,-42.500000,0.000000,top
"J1","Conn_02x06_Odd_Even","PinHeader_2x06_P2.54mm_Horizontal",43.500000,-35.750000,270.000000,top
"J2","USB_B_Micro","MicroXNJ",61.500000,-31.750000,0.000000,top